tube_no,barnname,rfid,lact,grp,dim_days,date,day_of_study,daily_milking,study_milking,milking_end,avgmilkdur_mins,milking_stall,milk_wt_lbs,tube_number,date_1,fat_percent,protein_percent,scc_thous_per_ml,lactose_percent,other_solids_percent,mun_mg_per_dl,solids_not_fat_percent,total_solids_percent,endtime
1,1126,840003268416673,1,A1,218,2025-06-30,1,2,1,5:45p,3.3,1,27.7,1,2025-06-30,4.4,3.1,9,4.5,5.6,13.4,8.7,13.1,2025-06-30 17:45:00
13,1161,840003268417064,1,A1,129,2025-06-30,1,2,1,6:08p,3.4,1,30.4,13,2025-06-30,4.0,3.4,620,4.8,5.9,13.5,9.3,13.3,2025-06-30 18:08:00
25,1181,840003268417712,1,A1,88,2025-06-30,1,2,1,6:18p,4.4,1,28.6,25,2025-06-30,3.5,2.9,593,5.0,6.1,12.8,9.0,12.5,2025-06-30 18:18:00
37,1083,840003268416706,1,A1,248,2025-06-30,1,2,1,5:58p,4.2,1,29.8,37,2025-06-30,4.3,3.1,11,4.8,6.0,14.3,9.1,13.4,2025-06-30 17:58:00
49,1149,840003268417040,1,A1,83,2025-06-30,1,2,1,6:30p,6.7,1,46.5,49,2025-06-30,2.2,2.5,394,4.7,5.8,12.1,8.3,10.5,2025-06-30 18:30:00
61,616,840003236994014,4,B2,204,2025-06-30,1,3,1,6:42p,5.1,1,34.2,61,2025-06-30,4.1,3.0,9,5.0,6.1,15.2,9.1,13.2,2025-06-30 18:42:00
73,456,840003236993676,5,B2,211,2025-06-30,1,3,1,6:56p,4.4,1,33.0,73,2025-06-30,3.6,3.1,8,4.9,6.0,11.8,9.1,12.7,2025-06-30 18:56:00
85,408,840003236993349,5,B2,249,2025-06-30,1,3,1,7:08p,3.6,1,29.7,85,2025-06-30,3.5,3.1,226,4.7,5.8,11.5,8.9,12.4,2025-06-30 19:08:00
97,746,840003236993312,3,B2,88,2025-06-30,1,3,1,7:18p,5.1,1,47.8,97,2025-06-30,3.1,2.6,13,5.0,6.1,16.7,8.7,11.8,2025-06-30 19:18:00
109,913,840003249943127,2,B2,246,2025-06-30,1,3,1,7:28p,4.2,1,28.0,109,2025-06-30,4.7,3.3,12,4.7,5.9,19.1,9.2,13.9,2025-06-30 19:28:00
121,1182,840003268417679,1,A1,84,2025-06-30,1,3,1,10:42p,3.6,1,14.4,121,2025-06-30,3.1,2.4,276,5.0,6.1,14.4,8.5,11.6,2025-06-30 22:42:00
